model,technique,shot,cap,aspect,n,mean_latency_s,precision,recall,f1,rouge1_model,rouge2_model,rougeL_model,rouge1_oracle,rouge2_oracle,rougeL_oracle,oracle_gap_rougeL
qwen35_2b,chain_of_thought,zero_shot,uncapped,challenge,100,3.915867937608855,0.20011171734706998,0.7632420634920636,0.2762842743067241,0.09569130199770423,0.04075250131829038,0.07250453508665694,0.4220026765441394,0.226199582941474,0.37142590290099414,0.29892136781433737
qwen35_2b,chain_of_thought,zero_shot,uncapped,outcome,100,3.915867937608855,0.3736465652187397,0.9063924963924964,0.447985998003943,0.13307034194816705,0.06531546025283559,0.1056727523577902,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.32279881757730267
qwen35_2b,chain_of_thought,zero_shot,uncapped,union,100,3.915867937608855,0.43835661381469637,0.9585580243200211,0.5853375247055691,0.15463312797163328,0.07832049231868109,0.10690898282256506,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.2486943911655513
qwen35_2b,chain_of_thought_trace,one_shot,capped,approach,100,5.4348542389419165,0.4508333333333336,0.467238455988456,0.4407596717008479,0.21612811702660206,0.10692727897470894,0.16883233061982694,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2773460902140565
qwen35_2b,chain_of_thought_trace,one_shot,capped,challenge,100,5.4348542389419165,0.38583333333333336,0.3769880952380952,0.36014629814629795,0.22043961288808864,0.08444011125054873,0.16289513819518245,0.4220026765441394,0.226199582941474,0.37142590290099414,0.2085307647058117
qwen35_2b,chain_of_thought_trace,one_shot,capped,outcome,100,5.4348542389419165,0.45833333333333326,0.45951695526695524,0.43526418026418,0.25082166936121586,0.10654567846387288,0.1817188023109984,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.2467527676240942
qwen35_2b,chain_of_thought_trace,one_shot,capped,union,100,5.4348542389419165,0.6834140859140859,0.4834833280978455,0.5538638820529173,0.3354776396812315,0.14642880783596549,0.2092240932052094,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.14637928078290696
qwen35_2b,chain_of_thought_trace,one_shot,uncapped,approach,100,6.404429800639628,0.25374217461963333,0.9632341269841268,0.3704255168035758,0.0779512130252141,0.04379439407151403,0.06472388236336152,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.3814545384705216
qwen35_2b,chain_of_thought_trace,one_shot,uncapped,challenge,100,6.404429800639628,0.18513178554738252,0.7819444444444444,0.25843093793455474,0.08375742527478235,0.03651675020032888,0.0656530814977773,0.4220026765441394,0.226199582941474,0.37142590290099414,0.3057728214032171
qwen35_2b,chain_of_thought_trace,one_shot,uncapped,outcome,100,6.404429800639628,0.2080416901830975,0.9582261904761904,0.3120138689255503,0.08158975537044519,0.04001781316586109,0.06518052945901459,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.3632910404760783
qwen35_2b,chain_of_thought_trace,one_shot,uncapped,union,100,6.404429800639628,0.4135098186294357,0.9789219679958844,0.5677905849556363,0.14593257763806908,0.07436153488467451,0.1013311117165124,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.254272262271604
qwen35_2b,contrastive_joint,one_shot,capped,approach,100,5.226221339615295,0.3499999999999999,0.37579689754689743,0.3472075049133872,0.21110560027862557,0.09956444402072648,0.1631894145986212,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.28298900623526224
qwen35_2b,contrastive_joint,one_shot,capped,challenge,100,5.226221339615295,0.405,0.40065476190476185,0.38214202464202457,0.23197131022295497,0.08447441697946434,0.16859015016172438,0.4220026765441394,0.226199582941474,0.37142590290099414,0.2028357527392698
qwen35_2b,contrastive_joint,one_shot,capped,outcome,100,5.226221339615295,0.5308333333333333,0.5100126262626263,0.49768120768120755,0.2593149919226696,0.11572377879259241,0.1893560375903708,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.23911553234472202
qwen35_2b,contrastive_joint,one_shot,capped,union,100,5.226221339615295,0.6802860472860472,0.47917001419072697,0.5493748358226258,0.3395141500994447,0.1472904804512255,0.21214108582774308,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.1434622881603733
qwen35_2b,contrastive_joint,one_shot,uncapped,approach,100,4.830973155972315,0.2270690827309248,0.9712857142857143,0.3367163759050525,0.06765611734758709,0.03627821800790453,0.055216483146144225,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.39096193768773896
